name,grade_scale,price_jpy,price_php,stock,sku,image_url,affiliate_url,scraped_at,notes
Gundam Weapons Gundam Build Fighters Gunpla Love,Unknown,"¥1,360",503.1,Only 2 left in stock.  Order now!,HBJ61208,https://www.hlj.com/productthumbs/hbj/hbj61208_0_1459739901.jpg?v=1459739901,https://www.hlj.com/gundam-weapons-gundam-build-fighters-gunpla-love-hbj61208?utm_source=speedartug&utm_medium=affiliate,2026-03-13T20:31:59,
Gundam Weapons Gundam Build Fighters Try Bokutachi no Gunpla,Unknown,"¥1,246",461.18,Only 1 left in stock.  Order now!,HBJ61115,https://www.hlj.com/productthumbs/hbj/hbj61115_0_1447319353.jpg?v=1447319353,https://www.hlj.com/gundam-weapons-gundam-build-fighters-try-bokutachi-no-gunpla-hbj61115?utm_source=speedartug&utm_medium=affiliate,2026-03-13T20:32:02,
