name,grade_scale,price_jpy,price_php,price_sgd,price_usd,price_myr,price_thb,price_idr,stock,release_date,cancellation_deadline,sku,image_url,image_urls,affiliate_url,scraped_at,notes
Mobile Suit Gundam Witch Of Mercury: Gundam Aerial T-Shirt / White-M,Unknown,"¥3,619",1365.61,29.15,22.79,90.15,743.34,390852.0,July Release,2026/07/31,"2026-05-23
Cancellations will not be accepted after this date (Japan Standard Time).",CSPR29595-2,https://www.hlj.com/productimages/csp/cspr29595-2_0.jpg,['https://www.hlj.com/productimages/csp/cspr29595-2_0.jpg'],https://www.hlj.com/mobile-suit-gundam-witch-of-mercury-gundam-aerial-t-shirt-white-m-cspr29595-2?utm_source=speedartug&utm_medium=affiliate,2026-05-06T03:58:12+08:00,
Mobile Suit Gundam: Zeon Tactical Belt,Unknown,"¥4,743",1789.42,38.2,29.87,118.15,974.21,512244.0,Aug  Release,2026/08/31,"2026-05-23
Cancellations will not be accepted after this date (Japan Standard Time).",CSPR21246-4,https://www.hlj.com/productimages/csp/cspr21246-4_0.jpg,['https://www.hlj.com/productimages/csp/cspr21246-4_0.jpg'],https://www.hlj.com/mobile-suit-gundam-zeon-tactical-belt-cspr21246-4?utm_source=speedartug&utm_medium=affiliate,2026-05-06T03:58:18+08:00,
Mobile Suit Gundam: Chimera Corps Patch,Unknown,"¥1,498",565.08,12.07,9.43,37.32,307.69,161784.0,Aug  Release,2026/08/31,"2026-05-23
Cancellations will not be accepted after this date (Japan Standard Time).",CSPR28776-3,https://www.hlj.com/productimages/csp/cspr28776-3_0.jpg,['https://www.hlj.com/productimages/csp/cspr28776-3_0.jpg'],https://www.hlj.com/mobile-suit-gundam-chimera-corps-patch-cspr28776-3?utm_source=speedartug&utm_medium=affiliate,2026-05-06T03:58:25+08:00,
Galaxy Gundam T-Shirt Black XL,Unknown,"¥3,619",1365.61,29.15,22.79,90.15,743.34,390852.0,July Release,2026/07/31,"2026-05-23
Cancellations will not be accepted after this date (Japan Standard Time).",CSPR36686-2,https://www.hlj.com/productimages/csp/cspr36686-2_0.jpg,['https://www.hlj.com/productimages/csp/cspr36686-2_0.jpg'],https://www.hlj.com/galaxy-gundam-t-shirt-black-xl-cspr36686-2?utm_source=speedartug&utm_medium=affiliate,2026-05-06T03:58:32+08:00,
Mobile Suit Gundam: Zeon Military Flag,Unknown,"¥3,120",1177.25,25.13,19.65,77.72,640.85,336960.0,Apr  Release,2026/04/30,"2026-01-31
Cancellations will not be accepted after this date (Japan Standard Time).",CSPR56215-3,https://www.hlj.com/productimages/csp/cspr56215-3_0.jpg,['https://www.hlj.com/productimages/csp/cspr56215-3_0.jpg'],https://www.hlj.com/mobile-suit-gundam-zeon-military-flag-cspr56215-3?utm_source=speedartug&utm_medium=affiliate,2026-05-06T03:58:38+08:00,
"Mobile Suit Gundam 00: I Want To Hug You, Gundam! T-Shirt / Black-M",Unknown,"¥3,619",1365.61,29.15,22.79,90.15,743.34,390852.0,July Release,2026/07/31,"2026-05-23
Cancellations will not be accepted after this date (Japan Standard Time).",CSPR05923-2,https://www.hlj.com/productimages/csp/cspr05923-2_0.jpg,['https://www.hlj.com/productimages/csp/cspr05923-2_0.jpg'],https://www.hlj.com/mobile-suit-gundam-00-i-want-to-hug-you-gundam-t-shirt-black-m-cspr05923-2?utm_source=speedartug&utm_medium=affiliate,2026-05-06T03:58:44+08:00,
Mobile Suit Gundam New Translation MS Complete Collection U.C.0068-0080,Unknown,"¥5,242",1977.78,42.22,33.01,130.58,1076.71,566136.0,May Release,2026/03/26,"2026-02-06
Cancellations will not be accepted after this date (Japan Standard Time).",KDK14754,https://www.hlj.com/media/original_images/noImage.png,['https://www.hlj.com/media/original_images/noImage.png'],https://www.hlj.com/mobile-suit-gundam-new-translation-ms-complete-collection-u-c-0068-0080-kdk14754?utm_source=speedartug&utm_medium=affiliate,2026-05-06T03:58:51+08:00,
Mobile Suit Gundam: Char's Neck Strap,Unknown,"¥1,747",659.26,14.07,11.0,43.52,358.83,188676.0,July Release,2026/07/31,"2026-05-23
Cancellations will not be accepted after this date (Japan Standard Time).",CSPR07032-2,https://www.hlj.com/productimages/csp/cspr07032-2_0.jpg,['https://www.hlj.com/productimages/csp/cspr07032-2_0.jpg'],https://www.hlj.com/mobile-suit-gundam-char-s-neck-strap-cspr07032-2?utm_source=speedartug&utm_medium=affiliate,2026-05-06T03:58:57+08:00,
Mobile Suit Gundam: Zeonic Neck Strap,Unknown,"¥1,747",659.26,14.07,11.0,43.52,358.83,188676.0,July Release,2026/07/31,"2026-05-23
Cancellations will not be accepted after this date (Japan Standard Time).",CSPR07033-3,https://www.hlj.com/productimages/csp/cspr07033-3_0.jpg,['https://www.hlj.com/productimages/csp/cspr07033-3_0.jpg'],https://www.hlj.com/mobile-suit-gundam-zeonic-neck-strap-cspr07033-3?utm_source=speedartug&utm_medium=affiliate,2026-05-06T03:59:04+08:00,
Mobile Suit Gundam Witch Of Mercury: Gundam Aerial Thin Dry Parka / Black-L,Unknown,"¥7,239",2731.22,58.31,45.59,180.32,1486.89,781812.0,July Release,2026/07/31,"2026-05-23
Cancellations will not be accepted after this date (Japan Standard Time).",CSPR31923-2,https://www.hlj.com/productimages/csp/cspr31923-2_0.jpg,['https://www.hlj.com/productimages/csp/cspr31923-2_0.jpg'],https://www.hlj.com/mobile-suit-gundam-witch-of-mercury-gundam-aerial-thin-dry-parka-black-l-cspr31923-2?utm_source=speedartug&utm_medium=affiliate,2026-05-06T03:59:13+08:00,
Mobile Suit Gundam: Zeonic Messenger Bag,Unknown,"¥5,242",1977.78,42.22,33.01,130.58,1076.71,566136.0,July Release,2026/07/31,"2026-05-23
Cancellations will not be accepted after this date (Japan Standard Time).",CSPR07192-2,https://www.hlj.com/productimages/csp/cspr07192-2_0.jpg,['https://www.hlj.com/productimages/csp/cspr07192-2_0.jpg'],https://www.hlj.com/mobile-suit-gundam-zeonic-messenger-bag-cspr07192-2?utm_source=speedartug&utm_medium=affiliate,2026-05-06T03:59:20+08:00,
Mobile Suit Gundam: E.F.S.F. Removable Patch,Unknown,"¥1,997",753.44,16.09,12.58,49.75,410.18,215676.0,Aug  Release,2026/08/31,"2026-05-23
Cancellations will not be accepted after this date (Japan Standard Time).",CSPR06380-3,https://www.hlj.com/productimages/csp/cspr06380-3_0.jpg,['https://www.hlj.com/productimages/csp/cspr06380-3_0.jpg'],https://www.hlj.com/mobile-suit-gundam-e-f-s-f-removable-patch-cspr06380-3?utm_source=speedartug&utm_medium=affiliate,2026-05-06T03:59:26+08:00,
Mobile Suit Gundam: Zeon Neck Strap,Unknown,"¥1,747",659.26,14.07,11.0,43.52,358.83,188676.0,July Release,2026/07/31,"2026-05-23
Cancellations will not be accepted after this date (Japan Standard Time).",CSPR07031-3,https://www.hlj.com/productimages/csp/cspr07031-3_0.jpg,['https://www.hlj.com/productimages/csp/cspr07031-3_0.jpg'],https://www.hlj.com/mobile-suit-gundam-zeon-neck-strap-cspr07031-3?utm_source=speedartug&utm_medium=affiliate,2026-05-06T03:59:32+08:00,
